id,member_id,emp_length,policy_code,loan_status
1077501,1296599,11,1,2
1077430,1314167,0,1,1
1077175,1313524,11,1,2
1076863,1277178,11,1,2
1075358,1311748,1,1,0
1075269,1311441,3,1,2
1069639,1304742,8,1,2
1072053,1288686,9,1,2
1071795,1306957,4,1,1
1071570,1306721,0,1,1
1070078,1305201,5,1,2
1069908,1305008,11,1,2
1064687,1298717,0,1,1
1069866,1304956,3,1,2
1069057,1303503,3,1,1
1069759,1304871,0,1,2
1065775,1299699,4,1,2
1069971,1304884,11,1,2
1062474,1294539,1,1,2
1069742,1304855,6,1,2
1069740,1284848,3,1,2
1039153,1269083,11,1,1
1069710,1304821,11,1,2
1069700,1304810,5,1,2
1069559,1304634,1,1,1
1069697,1273773,2,1,2
1069800,1304679,9,1,1
1069657,1304764,2,1,1
1069799,1304678,11,1,2
1047704,1278806,0,1,2
1032111,1261745,7,1,2
1069539,1304608,5,1,2
1065420,1299514,2,1,0
1069591,1304289,2,1,2
1069530,1291365,7,1,2
1069522,1304589,11,1,2
1069361,1304255,2,1,2
1069357,1304251,1,1,2
1069356,1304250,1,1,2
1069346,1304237,1,1,0
1067573,1301955,4,1,2
1069506,1304567,11,1,2
1069314,1304202,9,1,2
1060578,1292332,11,1,2
1069469,1304526,11,1,2
1051117,1282787,6,1,2
1069465,1304521,11,1,1
1069283,1304166,6,1,2
1069287,1304171,11,1,2
1069453,1303701,5,1,2
1069248,1304123,8,1,1
1068120,1302485,9,1,2
1069244,1304117,0,1,2
1069243,1304116,4,1,1
1069238,1303909,1,1,2
1069410,1303652,7,1,1
1068409,1302790,7,1,2
1068487,1302882,0,1,2
1043961,1274517,2,1,2
1068945,1287308,1,1,2
1069142,1287810,0,1,2
1068934,1277395,6,1,2
1069136,1278095,0,1,2
1068923,1303549,0,1,2
1069126,1303778,11,1,1
1069102,1303750,7,1,2
1069093,1303740,5,1,1
1069030,1303473,4,1,2
1068906,1303528,4,1,1
1069073,1303718,2,1,2
1069043,1303486,5,1,2
1060981,1292558,5,1,1
1069071,1303716,1,1,2
1069070,1299004,3,1,2
1068893,1303514,0,1,2
1068882,1303303,11,1,2
1069039,1303482,11,1,2
1068416,1302799,0,1,2
1068997,1303437,1,1,2
1048390,1279714,11,1,2
1068994,1303432,3,1,2
1068475,1302869,2,1,2
1068989,1282013,6,1,2
1068967,1303403,4,1,2
1068744,1303379,11,1,2
1045509,1276120,2,1,2
1063958,1297940,4,1,0
1041756,1272024,0,1,2
1068694,1303326,9,1,2
1068792,1303200,4,1,2
1068558,1303163,0,1,2
1068322,1302938,3,1,2
1065674,1299785,3,1,2
1068547,1303150,11,1,2
1068545,1303147,4,1,2
1068575,1303001,6,1,0
1049528,1280928,4,1,2
1068542,1303143,7,1,1
1068350,1302971,11,1,2
1067874,1302235,0,1,0
1068509,1302907,2,1,1
1034693,1264291,7,1,0
1068508,1302906,8,1,2
1066641,1300833,6,1,2
1068315,1302930,7,1,2
1068309,1302924,11,1,1
1068326,1302942,11,1,2
1066767,1300950,11,1,2
1068484,1302879,5,1,2
1068292,1302706,11,1,2
1068273,1302680,8,1,2
1068274,1302681,8,1,2
1068440,1302831,3,1,2
1046456,1277297,5,1,2
1068012,1302365,1,1,1
1055725,1287293,9,1,2
1061814,1293438,6,1,2
1068232,1302622,2,1,2
1068405,1302785,1,1,2
1068395,1302773,1,1,2
1068202,1302588,11,1,1
1068006,1302360,4,1,1
1068075,1302430,3,1,2
1065642,1299748,4,1,2
1068179,1302564,11,1,1
1068158,1302728,11,1,2
1068180,1302565,7,1,2
1065673,1299784,11,1,2
1068159,1302729,6,1,2
1068165,1302549,3,1,2
1059689,1291305,0,1,2
1066215,1300572,8,1,1
1063270,1295780,5,1,2
1067931,1302311,2,1,2
1067922,1302299,11,1,2
1067919,1302295,4,1,2
1068106,1302467,1,1,2
1068111,1302472,11,1,1
1067655,1302044,2,1,2
1060662,1292431,5,1,2
1061304,1293317,1,1,2
1068095,1302453,2,1,2
1067182,1301537,4,1,2
822464,1030901,1,1,2
1063526,1296092,7,1,2
1068091,1302450,2,1,1
1068090,1302449,4,1,2
1068082,1270159,8,1,2
1068078,1302434,6,1,2
1057633,1289398,5,1,2
1046204,1276836,1,1,2
1067794,1302151,8,1,1
1067816,1302174,5,1,2
1068018,1302371,11,1,1
1052996,1284571,5,1,2
1067818,1247741,1,1,1
1064842,1298688,0,1,2
1067109,1301487,2,1,2
1067971,1302322,2,1,2
1057518,1289083,11,1,2
1067473,1301868,11,1,2
1062177,1294027,2,1,2
1067447,1301839,2,1,2
1059412,1291030,5,1,2
1062608,1294481,3,1,2
1067664,1302055,2,1,2
1067441,1301833,11,1,2
1067654,1302043,11,1,2
1067644,1302032,0,1,1
1062288,1294350,2,1,2
1067434,1301822,2,1,2
1067419,1301804,2,1,2
1067601,1301984,4,1,2
1067579,1301961,1,1,2
1067563,1301944,5,1,2
1067364,1301744,5,1,1
1067152,1301933,0,1,1
1062471,1294536,6,1,1
1066842,1301036,11,1,2
1067126,1301506,3,1,1
1067326,1301703,3,1,2
1066789,1300973,11,1,2
1067324,1301699,11,1,1
1067102,1301481,8,1,1
1046969,1277832,11,1,0
1067084,1301459,2,1,2
1067090,1301465,9,1,2
1060875,1292842,7,1,2
1067265,1301632,1,1,1
1067287,1301658,5,1,2
1067066,1301436,11,1,2
1067283,1301654,5,1,2
1067266,1301634,5,1,2
1066635,1300826,5,1,2
1067026,1301392,11,1,2
1067038,1301405,8,1,1
1067030,1301397,11,1,2
1065350,1299445,5,1,2
1067028,1301395,4,1,2
1061877,1293509,6,1,2
1067018,1301384,5,1,2
1067223,1301585,11,1,2
1067004,1301365,5,1,2
1031265,1260676,11,1,1
1066835,1301027,3,1,1
1067181,1301536,2,1,2
1067179,1301534,3,1,2
1067172,1301527,11,1,2
1066712,1301115,7,1,2
1066706,1300906,6,1,2
1066836,1301028,2,1,2
1066826,1301015,0,1,2
1063280,1295793,11,1,1
1057447,1289006,1,1,2
1040867,1270873,0,1,2
1065232,1299103,9,1,2
1052492,1284024,4,1,2
1066664,1300858,11,1,0
1066659,1300852,2,1,0
1066763,1300945,2,1,2
1066798,1300982,0,1,1
1066639,1300831,0,1,2
1066633,1300823,11,1,2
1060644,1292408,7,1,2
1066766,1300949,3,1,1
1066613,1300801,11,1,1
1065648,1299754,6,1,1
1066768,1300951,0,1,2
1066617,1300806,11,1,2
1062015,1293857,2,1,2
1066598,1300783,7,1,2
1066503,1300476,2,1,1
1066530,1300506,5,1,2
1066520,1300495,5,1,2
1065929,1300072,7,1,2
1066582,1300766,11,1,2
1066348,1300722,0,1,2
1061430,1293224,0,1,2
1061519,1293522,1,1,2
1066344,1300716,11,1,1
1066480,1300453,8,1,2
1066471,1300438,11,1,2
1064063,1296651,4,1,0
1066318,1300689,5,1,2
1066453,1300423,5,1,2
1063090,1295591,4,1,2
1061406,1293196,2,1,2
1066278,1300643,1,1,2
1066281,1300646,5,1,2
1056150,1287925,3,1,2
1066434,1300402,11,1,2
1048526,1279867,2,1,1
1028566,1257917,11,1,2
1066424,1291243,11,1,2
1066212,1300569,1,1,2
1066232,1300594,11,1,1
1056219,1287799,11,1,2
1066199,1300556,5,1,2
1060851,1292817,3,1,2
972383,1194336,11,1,2
1066191,1300547,1,1,2
1066173,1300526,2,1,0
1066379,1300340,6,1,2
1066364,1300323,11,1,2
1066140,1300296,7,1,2
1066171,1300523,4,1,2
1066162,1300514,7,1,1
1040154,1270530,2,1,2
1066155,1277661,8,1,2
1065382,1299269,1,1,2
1063447,1296011,11,1,1
1065932,1300077,9,1,2
1065936,1300082,1,1,2
1066112,1300264,0,1,1
1066084,1300233,9,1,2
1066081,1300229,11,1,2
1065896,1300036,5,1,2
1066065,1300209,5,1,2
1066071,1300216,11,1,1
1062094,1294147,2,1,2
1061154,1292952,4,1,2
1066061,1300203,9,1,2
1065863,1300001,5,1,2
1065862,1300000,11,1,2
1065854,1299989,3,1,2
1065145,1299228,1,1,0
1062260,1294318,11,1,2
1065842,1299977,6,1,2
1066018,1300151,6,1,2
1049352,1280767,1,1,2
1066016,1300149,7,1,2
1065997,1300128,11,1,2
1061891,1293926,3,1,2
1065752,1299871,9,1,2
1063126,1295634,11,1,2
1065738,1299858,11,1,2
1061467,1293268,1,1,2
1065721,1299839,11,1,2
1065717,1299834,1,1,2
1065026,1298879,5,1,1
1057001,1288555,3,1,1
1065513,1299629,6,1,1
1065698,1299812,2,1,2
1065681,1299792,6,1,2
1061788,1293410,11,1,1
1065484,1299597,11,1,2
1061681,1293700,5,1,2
1065661,1299772,1,1,2
1065663,1299774,6,1,2
1065480,1299593,5,1,2
1065658,1299768,3,1,2
1065447,1299549,0,1,2
1065470,1299579,5,1,2
1065467,1299576,3,1,1
1065649,1299755,11,1,1
1065430,1299526,3,1,2
1059462,1291082,3,1,2
1064102,1296692,11,1,1
1062399,1294261,1,1,1
1065572,1299469,2,1,2
1065567,1299463,3,1,2
1065342,1299434,2,1,0
1065355,1299450,5,1,2
1058717,1290516,0,1,2
1065348,1299443,2,1,1
890389,1107021,5,1,2
1065142,1299224,11,1,0
1065320,1299408,3,1,0
1065304,1299388,11,1,1
1065180,1299041,11,1,2
1065298,1299382,3,1,2
1064904,1298955,6,1,2
1064696,1298728,0,1,2
977277,1200058,2,1,0
1065260,1299343,2,1,2
1059734,1291550,7,1,0
1065110,1299187,8,1,2
1047987,1279118,2,1,2
1065104,1299181,7,1,0
1065103,1299180,5,1,1
1065254,1299335,11,1,1
1064873,1298920,9,1,2
1065244,1299321,7,1,2
1064969,1298813,5,1,2
1059620,1291228,11,1,1
1032978,1262529,0,1,2
1065234,1299108,11,1,2
1064958,1299015,8,1,2
1065196,1299063,2,1,1
1065199,1299065,7,1,2
1065195,1299060,5,1,2
1065020,1298873,11,1,2
1065016,1298869,2,1,2
1064924,1298975,6,1,2
1064940,1298993,11,1,2
1064932,1298984,11,1,2
1062248,1294105,4,1,1
1064985,1298830,6,1,2
1064926,1298978,9,1,2
1064908,1298959,4,1,2
1059118,1290932,1,1,2
1064897,1298948,3,1,0
1064754,1298795,11,1,1
1060082,1291917,8,1,2
1064736,1298775,11,1,2
1064727,1298762,5,1,1
1042668,1272939,11,1,2
1064862,1298709,8,1,0
1064711,1298745,5,1,2
1032875,1262430,6,1,2
1064830,1298673,1,1,2
1064681,1298511,3,1,2
1064383,1298181,2,1,2
1064675,1298502,4,1,2
1064666,1298492,1,1,2
1064639,1298460,3,1,2
1064636,1298456,3,1,1
1064805,1298641,6,1,2
1064635,1298453,0,1,2
1064793,1298624,7,1,2
1056865,1288419,3,1,1
1064783,1298613,1,1,1
1064623,1298440,6,1,2
1064792,1298623,3,1,2
1062701,1294981,11,1,2
1064781,1298611,4,1,2
1064774,1298604,1,1,2
1053765,1285367,9,1,2
1064608,1298422,0,1,1
1064589,1298401,11,1,2
1064558,1298584,4,1,2
1064585,1298397,11,1,2
1064548,1298574,1,1,2
1064462,1298274,6,1,2
1064582,1298394,0,1,2
1064579,1298391,3,1,2
1046511,1277556,1,1,2
1029191,1258545,0,1,2
1064527,1298549,11,1,2
1064567,1298378,4,1,2
1064500,1298518,5,1,2
1063899,1296478,4,1,2
1057598,1289361,11,1,2
1052002,1283533,6,1,2
1064323,1298326,11,1,2
1064317,1298320,3,1,2
1064471,1298287,5,1,2
1060374,1292126,3,1,2
1064452,1298261,8,1,2
1064453,1298262,4,1,2
1064284,1298080,3,1,2
1063081,1295580,1,1,2
1064251,1298041,0,1,1
1064407,1298209,3,1,2
1035800,1265435,11,1,1
1063678,1296243,4,1,2
1059751,1291568,3,1,2
1064386,1298184,11,1,0
1055800,1287372,5,1,2
1064221,1298006,11,1,2
1064210,1297995,3,1,2
1064209,1297994,2,1,2
1064366,1298164,0,1,1
1064216,1298000,2,1,2
1064150,1298144,9,1,1
1056864,1288418,9,1,2
1064146,1298139,5,1,2
1064183,1297966,11,1,2
1064185,1268159,4,1,2
1064126,1298118,5,1,2
1029473,1258841,2,1,1
1057239,1288798,8,1,0
1064128,1298120,4,1,2
1063949,1297930,0,1,1
1064166,1268179,2,1,2
1064133,1298122,11,1,1
1064094,1296684,3,1,0
1063505,1296072,1,1,2
1063528,1296094,8,1,2
1063912,1296491,0,1,2
1064082,1296671,11,1,2
1063892,1296470,2,1,2
1064061,1296648,5,1,2
1063876,1296451,11,1,2
1042841,1273136,0,1,2
1063864,1296438,3,1,2
